model_label,model_name,prompt_id,prompt_type,latency_sec,answer,error
Model A,google/gemma-4-e4b,1,Объяснение понятия,285.083,"Это очень важная и фундаментальная тема, поэтому давайте объясним максимально просто, используя аналогии из реальной жизни.

***

### 🧠 Что такое Хеш-функция? (Понятие)

Представьте хеш-функцию как **цифровой отпечаток пальца** для любой информации — будь то слово, фотография, целая книга или видеофайл.

**Простыми словами:** Это математический алгоритм, который берёт входные данные *любого* размера и всегда преобразует их в выходную строку *фиксированного*, короткого и уникального формата (этот результат называется **хеш**, **дайджест** или **суммарный код**).

#### 🔍 Как это работает?

1. **Вход:** Вы подаёте данные (например, предложение: ""Привет, мир!"").
2. **Функция:** Алгоритм проходит по этим данным и выполняет сложные математические преобразования.
3. **Выход (Хеш):** Получается короткий код, который выглядит примерно так: `a4c7e8f1b0d9...`

Самое главное в хеш-функции — это три свойства, которые делают её полезной для безопасности:

1. **Односторонность (Ключевой момент):** Вы никогда не сможете восстановить исходные данные, только зная этот код. Это как отпечаток пальца: вы можете его распечатать и показать, но нельзя собрать по нему руку.
2. **Детерминированность:** Если вы подадите на вход одни и те же данные сегодня или через год, вы всегда получите абсолютно одинаковый хеш-код.
3. **Чувствительность (Эффект лавины):** Если вы измените даже одну букву в исходном тексте (например, добавите точку в конце), полученный хеш-код полностью и совершенно изменится.

***

### 🛡️ Для чего применяется Хеширование в Информационной Безопасности? (Применение)

Хэширование используется для доказательства **целостности** данных (чтобы доказать, что файл не менялся) и **подлинности** (кто владеет паролем), но *никогда* для сокрытия самого текста (это задача шифрования).

Вот три главных примера использования:

#### 1. Хранение Паролей (Самое частое применение)
Это главное место, где вы столкнётесь с хешированием.

**Что происходит:** Когда вы регистрируетесь на сайте, система *никогда* не сохраняет ваш пароль в своей базе данных. Вместо этого она выполняет: `Хеш(ВашПароль)` и сохраняет только полученный код (например, `a4c7e8f1b0d9...`).

**Зачем это нужно:** Если хакер взломает базу данных сайта, он получит кучу бессмысленных хеш-кодов. Поскольку хеши односторонние, ему будет крайне сложно (и почти невозможно) восстановить реальный пароль по этому коду. Хакер не сможет просто ""прочитать"" ваш пароль.

#### 2. Проверка Целостности Файлов
Это используется, когда вы скачиваете критически важный файл (например, операционную систему или программу).

**Что происходит:** Разработчик загружает этот файл и рассчитывает его хеш-код (`X`). Затем он публикует этот код рядом с файлом. Когда вы скачиваете файл, вы сами запускаете ту же функцию и получаете свой собственный хеш-код (`Y`).
**Проверка:** Если ваш код `Y` совпадает с опубликованным кодом `X`, значит, файл был скачан полностью и не был изменён злоумышленниками (или ошибками) по пути.

#### 3. Блокчейн и Цифровые Подписи
Хеширование является основой блокчейна (как Bitcoin).

**Что происходит:** Каждый ""блок"" данных в блокчейне имеет уникальный хеш-код, который включает в себя не только данные этого блока, но и **хеш предыдущего блока**. Это связывает все блоки между собой.
**Зачем это нужно:** Если хакер попытается изменить хоть одну цифру в старом блоке, то изменится его хеш. Поскольку последующие блоки хранят ссылки на старый хеш, вся цепочка мгновенно ""сломается"", и система сразу поймёт, что данные были подделаны.

***

### 💡 Краткое резюме (Чтобы запомнить)

| Характеристика | Хеш-функция | Шифрование |
| :--- | :--- | :--- |
| **Назначение** | Доказать целостность и аутентичность данных. | Скрыть данные от посторонних глаз. |
| **Восстановление** | Невозможно (односторонний процесс). | Возможно, если знать ключ расшифровки. |
| **Пример использования**| Хранение паролей, проверка скачиваемых файлов. | Обмен зашифрованными сообщениями. |",
Model A,google/gemma-4-e4b,2,Классификация,4.076,"нормальное,дозрительное,нормальное,подозрительное",
Model A,google/gemma-4-e4b,3,Краткое суммирование,10.468,"Многофакторная аутентификация (MFA) повышает безопасность аккаунта, требуя от пользователя минимум двух доказательств личности, что значительно снижает риск взлома даже при компрометации пароля. Однако MFA не является абсолютной защитой и может быть обойдена с помощью продвинутых атак, таких как SIM-свопинг или фишинг.",
Model A,google/gemma-4-e4b,4,Извлечение структурированных данных,5.961,"```json
{
  ""name"": ""Иванов Петр Сергеевич"",
  ""position"": ""системный администратор"",
  ""date"": ""12 марта 2026 года""
}
```",
Model A,google/gemma-4-e4b,5,Генерация программного кода,271.504,"Для этой задачи наиболее подходящим инструментом является модуль регулярных выражений (`re`), так как он позволяет проверять присутствие определенных классов символов в строке.

### Код функции

```python
import re

def is_strong_password(password: str) -> bool:
    """"""
    Проверяет, что пароль соответствует следующим критериям:
    1. Минимум 8 символов.
    2. Содержит хотя бы одну заглавную букву (A-Z).
    3. Содержит хотя бы одну цифру (0-9).
    4. Содержит хотя бы один спецсимвол (не буква и не цифра, например, !, ?, $, %).
    """"""
    
    # 1. Проверка минимальной длины
    if len(password) < 8:
        return False

    # 2. Проверка наличия заглавной буквы (Pattern: [A-Z])
    has_uppercase = re.search(r'[A-Z]', password) is not None
    if not has_uppercase:
        return False

    # 3. Проверка наличия цифры (Pattern: \d - соответствует любой цифре)
    has_digit = re.search(r'\d', password) is not None
    if not has_digit:
        return False

    # 4. Проверка наличия спецсимвола
    # Используем класс символов, который ловит все, что не является буквой (A-Z, a-z) и цифрой (\d).
    # Это универсальный способ проверки на ""спецсимвол"".
    has_special = re.search(r'[!@#$%^&*()_+\-=\[\]{};\':""\\|,.<>/?]', password) is not None
    if not has_special:
        return False

    # Если все проверки пройдены
    return True

# --- Примеры использования ---

print(""--- Тестовые сценарии (Успех) ---"")
strong_pass1 = ""Pa$$w0rd!""
print(f""'{strong_pass1}': {is_strong_password(strong_pass1)}"") # Ожидается True

strong_pass2 = ""MyP@ssword19""
print(f""'{strong_pass2}': {is_strong_password(strong_pass2)}"") # Ожидается True


print(""\n--- Тестовые сценарии (Неудача) ---"")
# 1. Слишком короткий
short_pass = ""Pass1!""
print(f""'{short_pass}' (Короткий): {is_strong_password(short_pass)}"") # Ожидается False

# 2. Нет заглавных букв
no_upper = ""p@ssword1234""
print(f""'{no_upper}' (Нет заглавной): {is_strong_password(no_upper)}"") # Ожидается False

# 3. Нет цифр
no_digit = ""Password!!!""
print(f""'{no_digit}' (Нет цифры): {is_strong_password(no_digit)}"") # Ожидается False

# 4. Нет спецсимволов
no_special = ""Password1234""
print(f""'{no_special}' (Нет спецсимвола): {is_strong_password(no_special)}"") # Ожидается False
```

### Объяснение работы функции

1.  **`import re`**: Импортирует модуль регулярных выражений, необходимый для сложной проверки паттернов символов.
2.  **Проверка длины**: Сначала проверяется базовое условие — длина пароля должна быть минимум 8 символов (`len(password) < 8`). Это самая быстрая проверка и ее лучше проводить первой.
3.  **Регулярные выражения (Regex)**: Функция использует `re.search()` для поиска указанного паттерна в строке. Если поиск успешен, функция возвращает объект совпадения (который является ""истиной"" в контексте `is not None`).

    *   `r'[A-Z]'`: Ищет любую заглавную латинскую букву (от A до Z).
    *   `r'\d'`: Ищет любую цифру (эквивалент `{0-9}`).
    *   `r'[!@#$%^&*()_+\-=\[\]{};\':""\\|,.<>/?]'`: Явный список наиболее распространенных спецсимволов. Эта конструкция гарантирует, что пароль содержит хотя бы один символ, который не является ни буквой, ни цифрой (что является лучшим способом определения ""спецсимвола"" в контексте безопасности).

Функция возвращает `False` сразу же при обнаружении любого из проваленных условий, и только если все четыре условия соблюдены — она возвращает `True`.",
Model A,google/gemma-4-e4b,6,Поиск ошибки в коде,126.089,"**Ошибка:** `ZeroDivisionError` (Ошибка деления на ноль).

### Объяснение ошибки

Функция `average(numbers)` вычисляет среднее арифметическое, используя формулу $Total / Count$.

Когда вы вызываете функцию с пустым списком: `print(average([]))`, происходит следующее:
1.  `numbers` равно `[]`.
2.  Цикл проходит и `total` остается равным 0.
3.  В строке `return total / len(numbers)` программа пытается вычислить **$0 / 0$**.

Поскольку длина пустого списка (`len([])`) равна нулю, Python выдает ошибку `ZeroDivisionError`, так как деление на ноль не определено.

### Исправленный вариант кода

Чтобы исправить эту ошибку, необходимо добавить проверку на случай, если входной список пуст (т.е. его длина равна нулю), и обработать этот случай до попытки деления. В данном случае, наиболее логичным решением является возврат `0` или `None`, в зависимости от того, какой результат должен быть ожидаемым при отсутствии данных.

Вот исправленная версия с проверкой на пустой список:

```python
def average(numbers):
    # Проверка на пустоту списка ДО расчета среднего
    if not numbers: # Эквивалентно len(numbers) == 0
        return 0  # Или можно вернуть None, если ожидается явное отсутствие значения
    
    total = 0
    for n in numbers:
        total += n
    
    return total / len(numbers)

print(average([1, 2, 3])) # Вывод: 2.0
print(average([]))        # Вывод: 0 
```",
Model A,google/gemma-4-e4b,7,Логическая/аналитическая задача,123.433,"**Нет, инцидента в A нет, а инцидент в C есть.**

***

### Обоснование

Обоснование строится на последовательном использовании логических правил и заданных условий.

**1. Анализ Отдела A (Используем условие 1 и известное состояние B):**

*   **Условие 1:** Если в А инцидент, то в В тоже фиксируется инцидент ($\text{A} \implies \text{B}$).
*   **Известно:** Инцидента в отделе $\text{B}$ не было ($\neg\text{B}$).

По правилу контрапозиции (если $P \implies Q$, то $\neg Q \implies \neg P$): если следствие $(\text{B})$ ложно, то и условие $(\text{A})$ должно быть ложным.
*   Вывод: **Инцидента в А нет ($\neg\text{A}$).**

**2. Анализ Отдела C (Используем условие 2 и полученные данные):**

*   **Условие 2:** В $\text{C}$ инцидент зафиксирован тогда и только тогда, когда ни в $\text{A}$, ни в $\text{B}$ нет инцидентов ($\text{C} \iff (\neg\text{A} \land \neg\text{B})$).
*   **Известно:** Нет инцидента в $\text{B}$ ($\neg\text{B}$) (по условию задачи).
*   **Получено:** Нет инцидента в $\text{A}$ ($\neg\text{A}$) (из п. 1).

Подставляем полученные факты в Условие 2:
$\text{C} \iff (\text{Истина} \land \text{Истина})$
$\text{C} \iff \text{Истина}$

*   Вывод: **В $\text{C}$ есть инцидент.**",
Model A,google/gemma-4-e4b,8,Задача по информационной безопасности,203.973,"При разработке клиентского приложения (будь то веб-фронтенд, мобильное или десктопное приложение) **никогда** нельзя напрямую использовать API-ключи LLM в коде клиента. Это самый критический и частый источник уязвимостей.

Основные меры защиты должны строиться на принципе посредничества и минимизации рисков. Ниже описаны три фундаментальные меры:

***

### 1. Использование Бэкенд-Прокси (Backend Proxy Layer)
**Описание:** Вместо того чтобы позволять клиентскому приложению отправлять запросы напрямую к LLM-провайдеру (например, OpenAI или Anthropic), все запросы должны проходить через ваш собственный, защищенный сервер (бэкенд). Этот бэкенд действует как посредник: он принимает запрос от клиента, использует хранимый на сервере API-ключ для обращения к LLM, получает ответ и затем отправляет очищенный или преобразованный ответ обратно клиенту.

**Почему это важно:**
*   **Сокрытие ключа (Primary Defense):** Это единственная гарантия того, что секретный ключ никогда не попадает в код клиента. Если злоумышленник получит доступ к вашему клиентскому приложению, он увидит только ваше сообщение об ошибке или ваш конечный API-эндпоинт, но не сам LLM API Key.
*   **Контроль и модификация:** Вы можете добавить логику обработки ошибок, нормализации ответа (преобразовать формат JSON для клиента) или выполнять дополнительные проверки данных, прежде чем запрос достигнет LLM.

***

### 2. Централизованное Управление Секретами (Secret Management Vault)
**Описание:** Никогда не храните API-ключи в исходном коде репозитория, даже если они удалены из истории коммитов (`git`). Используйте специализированные системы управления секретами (например, HashiCorp Vault, AWS Secrets Manager, Azure Key Vault). Эти инструменты позволяют безопасно хранить учетные данные и предоставлять их вашему бэкенду только в момент запуска приложения или по запросу с строго контролируемым доступом.

**Почему это важно:**
*   **Предотвращение утечки через код (Source Code Leakage):** Vault отделяет секрет от кода. Разработчик может закоммитить логику, но не сам ключ. Это предотвращает случайную компрометацию ключей из-за ошибки в коде или доступа к репозиторию.
*   **Автоматизированное ротирование:** Эти системы позволяют автоматически менять (ротировать) API-ключи по расписанию, значительно уменьшая ущерб в случае, если ключ все же будет украден.

***

### 3. Принцип Минимальных Привилегий и Ограничение Области Действия Ключа (Least Privilege & Scope Limitation)
**Описание:** Используйте для бэкенда не ""мастер-ключ"", который имеет полные права доступа к всем функциям LLM провайдера, а ключ, который имеет **только те минимальные права**, которые необходимы для конкретной задачи. Кроме того, необходимо внедрить механизмы учета и лимитирования запросов (Rate Limiting) прямо на бэкенде.

**Почему это важно:**
*   **Ограничение ущерба при компрометации (Damage Control):** Если ключ взломан, злоумышленник не сможет использовать его для задач, которые ему не нужны (например, он получит только право на генерацию текста и ничего больше).
*   **Борьба с DoS-атаками и контролем затрат:** Внедрение лимитов (Rate Limiting) гарантирует, что даже если злоумышленник узнает ключ, он не сможет мгновенно совершить миллион запросов, что защищает вашу финансовую стабильность от чрезмерных расходов.

---
### Краткая Схема Безопасного Потока Данных:

**Клиент $\to$ (Ваш Бэкенд API) $\to$ (Vault/Secrets Manager) $\to$ LLM Провайдер $\to$ Ваш Бэкенд API $\to$ Клиент**",
Model A,google/gemma-4-e4b,9,Деловая формулировка,166.063,"Для написания делового письма руководству необходимо убрать эмоциональную окраску, заменить сленг на профессиональную терминологию и структурировать сообщение по принципу: **Факт $\rightarrow$ Причина $\rightarrow$ Следствие/Решение**.

Ниже представлены три варианта в зависимости от степени формальности вашего обращения.

***

### 1. Нейтральный деловой стиль (Рекомендовано)
Этот вариант оптимален для большинства ситуаций: информативный, уважительный и конкретный.

> «Коллеги/Уважаемые [Имя руководителя],
>
> В процессе работы сегодня был зафиксирован сбой в работе API. Предварительно установлено, что причина нестабильности — превышение установленных лимитов использования ресурса. Для обеспечения бесперебойной работы и возобновления штатного объема функционала требуется пересмотр и увеличение бюджета (или: повышение тарифа) на данный сервис.»

### 2. Более официальный стиль (Для письменного отчета или заявки в IT-отдел)
Если вам нужно подчеркнуть серьезность проблемы и необходимость обоснования затрат.

> «Уважаемые коллеги,
>
> Обращаю ваше внимание на факт временной недоступности API. По результатам мониторинга выявили, что сбои обусловлены достижением ресурсных лимитов, предусмотренных текущим тарифным планом. В связи с тем, что это ограничивает ключевые бизнес-функции, прошу рассмотреть вопрос о повышении уровня подписки для обеспечения стабильной и полноценной работы системы.»

### 3. Краткий и срочный стиль (Если руководитель очень занят)
Используется, если нужно максимально быстро донести только суть проблемы и требуемого действия.

> «[Имя руководителя],
>
> API временно недоступен из-за достижения лимитов использования. Для устранения сбоя и нормализации бизнес-процессов необходимо оперативно увеличить бюджет/повысить тарифный план сервиса.»

***

### Сравнение ключевых замен:

| Исходная фраза (Неформально) | Деловая замена (Профессионально) | Почему? |
| :--- | :--- | :--- |
| «слушайте» | Уважаемые коллеги, / Коллеги, / Обращаю ваше внимание | Создает уважительное и профессиональное обращение. |
| «у нас опять апи упал» | Зафиксирован сбой в работе API. / Наблюдается временная недоступность сервиса. | Переводит эмоциональный ""сбой"" в объективный технический отчет. |
| «вроде из-за лимитов» | Предварительно установлено, что причина связана с превышением лимитов. / Сбои обусловлены достижением ресурсных ограничений. | Звучит обоснованно и минимизирует догадки. |
| «надо бы денег докинуть на тариф» | Требуется пересмотр бюджета/увеличение лимитов подписки. / Прошу рассмотреть вопрос повышения тарифа. | Формулировка действия через бизнес-процесс (пересмотр, повышение) вместо прямого требования денег. |",
Model A,google/gemma-4-e4b,10,Жёсткий формат ответа,28.237,"```json
{
  ""language"": ""Python"",
  ""paradigm"": [
    ""Object-Oriented"",
    ""Procedural"",
    ""Functional""
  ],
  ""year_created"": 1991
}
```",
